arm,step,overlong,tool_calls,response_tokens,summaries,invalid_calls,finished
9B GRPO-32K,0,0.03125,39.3203125,4607.3203125,0.0,0.5234375,0.96875
9B GRPO-32K,10,0.0390625,46.796875,5793.359375,0.0,0.109375,0.9609375
9B GRPO-32K,20,0.0546875,46.09375,6163.6015625,0.0,0.2109375,0.9453125
9B GRPO-32K,30,0.0546875,45.234375,7266.84375,0.0,0.0234375,0.9453125
9B GRPO-32K,35,0.140625,42.4375,7904.109375,0.0,0.0546875,0.859375
9B GRPO-32K,40,0.09375,48.1015625,8145.9921875,0.0,0.0390625,0.90625
9B GRPO-32K,50,0.078125,45.1796875,7496.5234375,0.0,0.0859375,0.921875
9B GRPO-32K,60,0.0625,47.375,7040.1875,0.0,0.0625,0.9375
9B GRPO-32K,70,0.046875,47.546875,7239.7578125,0.0,0.1328125,0.953125
9B GRPO-32K,80,0.0859375,46.609375,8374.140625,0.0,0.0546875,0.9140625
9B GRPO-32K,90,0.078125,49.390625,7622.765625,0.0,0.0703125,0.921875
9B GRPO-32K,100,0.046875,51.2421875,8044.9296875,0.0,0.0625,0.953125
9B SUPO-4Kx8,0,0.1171875,46.8515625,5280.25,1.1875,0.2578125,0.8828125
9B SUPO-4Kx8,10,0.140625,46.015625,7526.34375,2.0078125,0.2421875,0.859375
9B SUPO-4Kx8,20,0.0703125,42.6015625,6874.15625,1.765625,0.0546875,0.9296875
9B SUPO-4Kx8,30,0.015625,31.5,5181.15625,1.234375,0.078125,0.984375
9B SUPO-4Kx8,40,0.0546875,34.6171875,5497.1953125,1.3046875,0.0546875,0.9453125
9B SUPO-4Kx8,50,0.0859375,35.765625,6160.09375,1.5546875,0.0625,0.9140625
9B SUPO-4Kx8,60,0.1015625,33.1171875,5485.5859375,1.3515625,0.09375,0.8984375
9B SUPO-4Kx8,70,0.03125,20.1015625,4113.4609375,0.8984375,0.0625,0.96875
9B SUPO-4Kx8,80,0.0546875,24.015625,4568.046875,1.0390625,0.0546875,0.9453125
9B SUPO-4Kx8,90,0.046875,27.8671875,4681.484375,0.9765625,0.078125,0.953125
9B SUPO-4Kx8,100,0.0546875,32.375,5590.40625,1.3203125,0.09375,0.9453125
9B GRPO-32K+think,0,0.0546875,44.5546875,6135.671875,0.0,0.0703125,0.9453125
9B GRPO-32K+think,10,0.1171875,45.203125,10306.0078125,0.0,0.0703125,0.8828125
9B GRPO-32K+think,20,0.2421875,46.4609375,13850.75,0.0,0.0234375,0.7578125
9B GRPO-32K+think,30,0.2578125,47.375,14353.8125,0.0,0.0,0.7421875
9B GRPO-32K+think,40,0.2265625,43.5234375,14109.0234375,0.0,0.0078125,0.7734375
9B GRPO-32K+think,50,0.171875,43.765625,13546.828125,0.0,0.0,0.828125
9B GRPO-32K+think,60,0.2578125,36.9609375,16483.9609375,0.0,0.0703125,0.7421875
9B GRPO-32K+think,70,0.1796875,40.921875,14534.9765625,0.0,0.015625,0.8203125
9B GRPO-32K+think,80,0.1796875,43.734375,12686.3125,0.0,0.015625,0.8203125
9B GRPO-32K+think,90,0.1484375,45.3828125,12522.078125,0.0,0.0234375,0.8515625
9B GRPO-32K+think,100,0.0625,43.6484375,11186.8125,0.0,0.0234375,0.9375
9B SUPO-4Kx8+think,0,0.0703125,47.46875,8285.34375,2.03125,0.2109375,0.9296875
9B SUPO-4Kx8+think,10,0.1484375,36.6640625,9373.9140625,2.6328125,0.171875,0.8515625
9B SUPO-4Kx8+think,20,0.09375,26.0234375,7273.1796875,2.078125,0.21875,0.90625
9B SUPO-4Kx8+think,30,0.0859375,22.6328125,6386.2578125,1.765625,0.078125,0.9140625
9B SUPO-4Kx8+think,40,0.0546875,28.265625,6525.8046875,1.6796875,0.125,0.9453125
9B SUPO-4Kx8+think,50,0.0625,24.84375,6176.2890625,1.7421875,0.015625,0.9375
9B SUPO-4Kx8+think,60,0.078125,24.9140625,6341.5859375,1.8984375,0.0546875,0.921875
9B SUPO-4Kx8+think,70,0.0546875,23.65625,5781.7421875,1.59375,0.0390625,0.9453125
9B SUPO-4Kx8+think,80,0.0546875,20.4453125,5732.609375,1.6328125,0.0234375,0.9453125
9B SUPO-4Kx8+think,90,0.0390625,22.8984375,5421.1953125,1.4453125,0.0234375,0.9609375
9B SUPO-4Kx8+think,100,0.1328125,24.5625,6635.171875,1.984375,0.0625,0.8671875
32B GRPO-32K,0,0.0234375,38.5703125,4000.734375,0.0,0.8125,0.9765625
32B GRPO-32K,10,0.078125,47.109375,5947.6484375,0.0,1.609375,0.921875
32B GRPO-32K,20,0.0703125,50.0,6394.3125,0.0,0.5859375,0.9296875
32B GRPO-32K,30,0.03125,50.9140625,6391.84375,0.0,0.984375,0.96875
32B GRPO-32K,40,0.0625,52.5234375,6947.6171875,0.0,1.1171875,0.9375
32B GRPO-32K,50,0.0546875,54.703125,6978.6875,0.0,1.21875,0.9453125
32B GRPO-32K,60,0.09375,57.671875,8079.84375,0.0,2.5859375,0.90625
32B GRPO-32K,70,0.0859375,60.4375,8419.5078125,0.0,1.8203125,0.9140625
32B GRPO-32K,80,0.0625,60.0078125,8497.2421875,0.0,0.875,0.9375
32B GRPO-32K,90,0.0625,57.1484375,8494.015625,0.0,0.921875,0.9375
32B GRPO-32K,100,0.0859375,58.4609375,9001.7890625,0.0,1.1953125,0.9140625
