arm,step,n_tasks,assistant_turns,frac_turns_with_think,frac_think_unterminated,think_tokens_mean,think_tokens_median,think_tokens_p90,think_tokens_max,think_tokens_total_per_task
9B GRPO-32K+think,0,128,5740,0.9993031358885017,0.0041841004184100415,77.7071129707113,31.0,114,4140,3482.25
9B GRPO-32K+think,10,128,5892,0.9993211133740665,0.01545516304347826,158.85529891304347,40.0,220,4140,7307.34375
9B GRPO-32K+think,20,128,6144,0.9991861979166666,0.030623880110767224,229.395504153771,42,276,4140,11002.0234375
9B GRPO-32K+think,30,128,6259,0.9987218405496086,0.029915213565829466,237.24908014717644,46,368,4140,11586.28125
9B GRPO-32K+think,40,128,5770,0.9991334488734835,0.033477883781439725,254.20745880312228,51,385,4140,11449.265625
9B GRPO-32K+think,50,128,5757,0.9998262984193156,0.026754690757470466,240.8544127866574,54.0,442,4140,10830.921875
9B GRPO-32K+think,60,128,4970,0.9997987927565393,0.04749446568726102,364.3954518011672,90,616,4140,14145.9453125
9B GRPO-32K+think,70,128,5421,0.9998155321896329,0.03302583025830258,282.4029520295203,66.0,442,4140,11958.0
9B GRPO-32K+think,80,128,5724,0.999475890985325,0.022548505506030415,222.62524034259744,61,334,4140,9950.3046875
9B GRPO-32K+think,90,128,5934,0.9994944388270981,0.020064070139942675,209.4429269937616,45,364,4140,9704.734375
9B GRPO-32K+think,100,128,5652,1.0,0.010969568294409059,191.08634111818824,56.0,367,4140,8437.65625
9B SUPO-4Kx8+think,0,128,1322,0.9931921331316188,0.0007616146230007616,100.44249809596344,42,249,1617,1030.3203125
9B SUPO-4Kx8+think,10,128,965,0.9803108808290155,0.007399577167019027,178.14270613107823,48.0,478,3140,1316.5859375
9B SUPO-4Kx8+think,20,128,660,0.9818181818181818,0.010802469135802469,227.8966049382716,52.0,641,3164,1153.7265625
9B SUPO-4Kx8+think,30,128,628,0.982484076433121,0.008103727714748784,234.93192868719612,61,674,3209,1132.4453125
9B SUPO-4Kx8+think,40,128,728,0.9903846153846154,0.004160887656033287,184.14701803051318,44,525,2863,1037.265625
9B SUPO-4Kx8+think,50,128,604,0.9867549668874173,0.01174496644295302,231.51510067114094,41.0,693,3193,1077.9921875
9B SUPO-4Kx8+think,60,128,738,0.986449864498645,0.01098901098901099,218.03571428571428,31.0,676,2949,1240.078125
9B SUPO-4Kx8+think,70,128,716,0.9902234636871509,0.009873060648801129,231.41184767277855,31,673,3134,1281.8046875
9B SUPO-4Kx8+think,80,128,591,0.988155668358714,0.010273972602739725,287.6472602739726,38.0,944,2934,1312.390625
9B SUPO-4Kx8+think,90,128,638,0.9921630094043887,0.004739336492890996,242.15481832543443,31,815,3048,1197.53125
9B SUPO-4Kx8+think,100,128,746,0.9772117962466488,0.019204389574759947,230.3127572016461,33,736,3150,1311.703125
