arm,step,acc,base,gain
9B GRPO-32K,0,0.765625,0.765625,0.0
9B GRPO-32K,10,0.8671875,0.765625,0.1015625
9B GRPO-32K,20,0.8671875,0.765625,0.1015625
9B GRPO-32K,30,0.8515625,0.765625,0.0859375
9B GRPO-32K,35,0.7890625,0.765625,0.0234375
9B GRPO-32K,40,0.84375,0.765625,0.078125
9B GRPO-32K,50,0.859375,0.765625,0.09375
9B GRPO-32K,60,0.875,0.765625,0.109375
9B GRPO-32K,70,0.875,0.765625,0.109375
9B GRPO-32K,80,0.875,0.765625,0.109375
9B GRPO-32K,90,0.859375,0.765625,0.09375
9B GRPO-32K,100,0.8671875,0.765625,0.1015625
32B GRPO-32K,0,0.5234375,0.5234375,0.0
32B GRPO-32K,10,0.5546875,0.5234375,0.03125
32B GRPO-32K,20,0.6484375,0.5234375,0.125
32B GRPO-32K,30,0.671875,0.5234375,0.1484375
32B GRPO-32K,40,0.7421875,0.5234375,0.21875
32B GRPO-32K,50,0.78125,0.5234375,0.2578125
32B GRPO-32K,60,0.7265625,0.5234375,0.203125
32B GRPO-32K,70,0.765625,0.5234375,0.2421875
32B GRPO-32K,80,0.8125,0.5234375,0.2890625
32B GRPO-32K,90,0.8125,0.5234375,0.2890625
32B GRPO-32K,100,0.8359375,0.5234375,0.3125
9B GRPO-32K+think,0,0.7421875,0.7421875,0.0
9B GRPO-32K+think,10,0.7890625,0.7421875,0.046875
9B GRPO-32K+think,20,0.6796875,0.7421875,-0.0625
9B GRPO-32K+think,30,0.7109375,0.7421875,-0.03125
9B GRPO-32K+think,40,0.75,0.7421875,0.0078125
9B GRPO-32K+think,50,0.78125,0.7421875,0.0390625
9B GRPO-32K+think,60,0.6953125,0.7421875,-0.046875
9B GRPO-32K+think,70,0.75,0.7421875,0.0078125
9B GRPO-32K+think,80,0.75,0.7421875,0.0078125
9B GRPO-32K+think,90,0.8046875,0.7421875,0.0625
9B GRPO-32K+think,100,0.859375,0.7421875,0.1171875
