arm,step,n_episodes,turns,cut_off_turns,frac_turns_cut,frac_episodes_with_cut,n_episodes_with_cut,overlong_given_cut,overlong_given_none,acc_given_cut,acc_given_none,resp_tokens_per_turn
9B GRPO-32K+think,0,128,5736,24,0.0041841004184100415,0.046875,6,0.5,0.03278688524590164,0.3333333333333333,0.7622950819672131,178.21053555699342
9B GRPO-32K+think,10,128,5888,90,0.015285326086956522,0.1796875,23,0.5217391304347826,0.02857142857142857,0.391304347826087,0.8761904761904762,299.8017705391824
9B GRPO-32K+think,20,128,6139,188,0.030623880110767224,0.3046875,39,0.6666666666666666,0.056179775280898875,0.1794871794871795,0.898876404494382,483.8297227341663
9B GRPO-32K+think,30,128,6251,187,0.029915213565829466,0.3515625,45,0.6222222222222222,0.060240963855421686,0.35555555555555557,0.9036144578313253,503.7892201374537
9B GRPO-32K+think,40,128,5765,193,0.033477883781439725,0.3203125,41,0.6097560975609756,0.04597701149425287,0.3902439024390244,0.9195402298850575,588.5438984708802
9B GRPO-32K+think,50,128,5756,154,0.026754690757470466,0.3203125,41,0.5121951219512195,0.011494252873563218,0.4634146341463415,0.9310344827586207,509.2971471587586
9B GRPO-32K+think,60,128,4969,236,0.04749446568726102,0.390625,50,0.66,0.0,0.32,0.9358974358974359,807.1378814671756
9B GRPO-32K+think,70,128,5420,179,0.03302583025830258,0.34375,44,0.5227272727272727,0.0,0.3409090909090909,0.9642857142857143,586.0235393385254
9B GRPO-32K+think,80,128,5721,129,0.022548505506030415,0.2890625,37,0.4864864864864865,0.054945054945054944,0.43243243243243246,0.8791208791208791,431.47474728540874
9B GRPO-32K+think,90,128,5931,119,0.020064070139942675,0.265625,34,0.5,0.02127659574468085,0.4411764705882353,0.9361702127659575,460.9729997936637
9B GRPO-32K+think,100,128,5652,62,0.010969568294409059,0.2578125,33,0.24242424242424243,0.0,0.6363636363636364,0.9368421052631579,308.2898712370196
